City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Kavieng,PG,2021-07-25 20:23:51,-2.5744,150.7967,81.0,76,93,3.51
137,Weligama,LK,2021-07-25 20:23:51,5.9667,80.4167,77.95,86,99,11.54
138,Dingle,PH,2021-07-25 20:23:51,10.9995,122.6711,77.14,89,34,9.69
139,Krasnoselkup,RU,2021-07-25 20:23:51,65.7,82.4667,53.89,91,48,6.04
140,Innisfail,AU,2021-07-25 20:23:52,-17.5333,146.0333,63.21,74,100,4.92
141,Anloga,GH,2021-07-25 20:23:52,5.7947,0.8973,77.22,80,10,14.29
142,Ereymentau,KZ,2021-07-25 20:23:52,51.6199,73.1033,63.73,84,9,13.98
143,Ca Mau,VN,2021-07-25 20:21:09,9.1769,105.15,77.58,89,100,4.23
144,Esperance,AU,2021-07-25 20:23:52,-33.8667,121.9,52.84,86,2,17.6
145,Puerto Carreno,CO,2021-07-25 20:18:56,6.189,-67.4859,85.21,62,98,2.84
146,Praia Da Vitoria,PT,2021-07-25 20:20:14,38.7333,-27.0667,73.76,94,75,11.81
147,Bathsheba,BB,2021-07-25 20:23:53,13.2167,-59.5167,84.81,79,20,11.5
148,Alta Floresta,BR,2021-07-25 20:23:53,-9.8756,-56.0861,93.02,31,20,2.3
149,Vila,PT,2021-07-25 20:23:53,42.0304,-8.1588,61.74,85,18,3.44
150,Victoria,HK,2021-07-25 20:21:23,22.2855,114.1577,86.38,84,16,1.99
151,Koplik,AL,2021-07-25 20:23:53,42.2136,19.4364,82.0,48,7,4.52
152,Moron,AR,2021-07-25 20:23:54,-34.6534,-58.6198,58.75,97,96,5.01
153,Schruns,AT,2021-07-25 20:23:54,47.0709,9.9475,55.56,91,90,0.07
154,Khatanga,RU,2021-07-25 20:23:54,71.9667,102.5,48.83,87,43,6.46
155,New Norfolk,AU,2021-07-25 20:23:54,-42.7826,147.0587,43.88,68,47,3.0
156,Souillac,MU,2021-07-25 20:22:54,-20.5167,57.5167,70.18,64,20,11.5
157,Lewiston,US,2021-07-25 20:23:55,44.1003,-70.2148,73.81,95,90,5.75
158,Camden,US,2021-07-25 20:23:55,39.7835,-74.9663,88.86,68,28,1.99
159,Baghdad,IQ,2021-07-25 20:22:15,33.3406,44.4009,96.71,23,0,6.91
160,Ulaanbaatar,MN,2021-07-25 20:23:55,47.9077,106.8832,59.13,82,40,2.24
161,Rabo De Peixe,PT,2021-07-25 20:23:56,37.8,-25.5833,71.11,78,40,6.91
162,Mar Del Plata,AR,2021-07-25 20:22:29,-38.0023,-57.5575,53.62,58,90,5.99
163,Abu Kamal,SY,2021-07-25 20:23:56,34.4506,40.9171,96.87,20,0,9.1
164,Tabuk,PH,2021-07-25 20:23:56,17.4189,121.4443,77.79,77,100,2.57
165,Bubaque,GW,2021-07-25 20:23:56,11.2833,-15.8333,79.41,81,100,9.55
166,Ribeira Grande,PT,2021-07-25 20:21:53,38.5167,-28.7,73.8,78,20,16.11
167,Champerico,GT,2021-07-25 20:23:29,14.3,-91.9167,93.74,71,39,7.9
168,Upernavik,GL,2021-07-25 20:22:39,72.7868,-56.1549,41.25,81,12,13.24
169,Karatuzskoye,RU,2021-07-25 20:23:57,53.6072,92.8667,62.51,95,79,3.06
170,Demak,ID,2021-07-25 20:23:57,-6.8909,110.6396,71.44,77,0,7.52
171,Sinjar,IQ,2021-07-25 20:23:57,36.3209,41.8754,94.37,21,0,11.3
172,Namatanai,PG,2021-07-25 20:23:57,-3.6667,152.4333,78.44,84,95,1.72
173,Brae,GB,2021-07-25 20:23:58,60.3964,-1.353,57.11,81,5,4.0
174,Gorontalo,ID,2021-07-25 20:22:13,0.5412,123.0595,74.26,95,58,3.09
175,Coari,BR,2021-07-25 20:23:58,-4.085,-63.1414,93.36,36,68,3.62
176,Avera,US,2021-07-25 20:23:58,33.194,-82.5271,91.9,50,84,4.41
177,Jiujiang,CN,2021-07-25 20:23:58,29.7333,115.9833,78.17,84,99,6.42
178,Namibe,AO,2021-07-25 20:22:52,-15.1961,12.1522,66.6,87,0,4.92
179,Kolda,SN,2021-07-25 20:23:59,12.8833,-14.95,77.5,84,100,5.99
180,Korla,CN,2021-07-25 20:19:17,41.7597,86.1469,86.58,13,0,8.01
181,Kizukuri,JP,2021-07-25 20:23:59,40.8061,140.3861,75.11,80,24,6.17
182,Farah,AF,2021-07-25 20:23:59,32.5,62.5,89.69,12,3,4.38
183,Ozernovskiy,RU,2021-07-25 20:23:15,51.5,156.5167,53.73,99,100,1.57
184,Chemal,RU,2021-07-25 20:24:00,51.4111,86.005,59.83,94,2,5.48
185,Iqaluit,CA,2021-07-25 20:24:00,63.7506,-68.5145,51.53,87,75,5.99
186,Shizunai,JP,2021-07-25 20:24:00,42.3339,142.3669,68.02,91,86,6.2
187,Sakakah,SA,2021-07-25 20:23:53,29.9697,40.2064,99.97,19,1,8.14
188,Umm Lajj,SA,2021-07-25 20:24:00,25.0213,37.2685,88.93,42,0,8.08
189,Khani,GE,2021-07-25 20:23:56,41.9563,42.9566,62.17,98,73,1.57
190,Marawi,PH,2021-07-25 20:23:48,7.9986,124.2928,70.65,89,94,5.41
191,Araouane,ML,2021-07-25 20:24:01,18.9048,-3.5265,101.43,23,28,2.98
192,Gornopravdinsk,RU,2021-07-25 20:24:01,60.05,69.9,48.69,69,29,5.73
193,Lac Du Bonnet,CA,2021-07-25 20:24:01,50.2536,-96.0612,84.58,25,39,13.53
194,Iranshahr,IR,2021-07-25 20:21:30,27.2025,60.6848,98.94,23,0,11.5
195,Taoudenni,ML,2021-07-25 20:24:01,22.6783,-3.9836,106.21,5,47,10.92
196,Manado,ID,2021-07-25 20:24:02,1.487,124.8455,81.37,65,40,5.75
197,Padang,ID,2021-07-25 20:24:02,-0.9492,100.3543,77.56,86,33,3.38
198,Baruun-Urt,MN,2021-07-25 20:19:30,46.6806,113.2792,60.42,69,100,12.01
199,Baba Ana,RO,2021-07-25 20:24:02,44.9667,26.45,76.68,49,0,2.1
