City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
124,Evanston,US,42.0411,-87.6901,85.1,46,75,6.91,2021-07-26 01:24:01,broken clouds
125,Marinette,US,45.1,-87.6307,80.69,47,1,0.0,2021-07-26 01:25:24,clear sky
126,Payo,ID,-3.7508,103.6372,74.03,59,5,2.19,2021-07-26 01:25:24,clear sky
127,Baker City,US,44.7749,-117.8344,96.15,22,1,11.5,2021-07-26 01:25:24,clear sky
128,Lufilufi,WS,-13.8745,-171.5986,86.79,75,10,12.88,2021-07-26 01:25:25,clear sky
129,Laguna,US,38.421,-121.4238,103.14,26,1,4.0,2021-07-26 01:25:25,clear sky
130,Port Hedland,AU,-20.3167,118.5667,77.05,23,100,9.22,2021-07-26 01:25:25,overcast clouds
131,Port Hardy,CA,50.6996,-127.4199,66.38,77,75,2.3,2021-07-26 01:21:10,broken clouds
132,Tazovskiy,RU,67.4667,78.7,50.74,75,100,7.27,2021-07-26 01:25:25,overcast clouds
133,Sao Filipe,CV,14.8961,-24.4956,74.05,76,68,7.11,2021-07-26 01:25:26,broken clouds
134,Salalah,OM,17.0151,54.0924,78.89,83,75,4.61,2021-07-26 01:25:26,broken clouds
135,Solnechnyy,RU,50.7214,136.6319,79.05,64,100,3.22,2021-07-26 01:25:26,overcast clouds
136,Meadow Lake,US,34.8014,-106.5436,81.48,52,99,10.98,2021-07-26 01:25:26,overcast clouds
137,Trindade,BR,-16.6494,-49.4889,67.75,39,0,4.23,2021-07-26 01:25:27,clear sky
138,Ancud,CL,-41.8697,-73.8203,38.73,79,7,7.72,2021-07-26 01:25:27,clear sky
139,San Patricio,US,28.017,-97.5169,85.53,66,3,10.49,2021-07-26 01:25:27,clear sky
140,Kodiak,US,57.79,-152.4072,54.91,82,1,8.05,2021-07-26 01:25:27,clear sky
141,Barrow,US,71.2906,-156.7887,39.22,95,90,14.97,2021-07-26 01:25:28,light rain
142,Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,8.05,2021-07-26 01:25:28,broken clouds
143,Isangel,VU,-19.55,169.2667,75.67,76,98,16.04,2021-07-26 01:25:28,overcast clouds
144,Yulara,AU,-25.2406,130.9889,64.24,29,0,8.05,2021-07-26 01:25:28,clear sky
145,Zyryanka,RU,65.75,150.85,53.51,54,100,13.56,2021-07-26 01:25:29,overcast clouds
146,Husavik,IS,66.0449,-17.3389,53.51,68,0,12.53,2021-07-26 01:25:29,clear sky
147,Galiakot,IN,23.5167,74.0,76.75,95,100,15.01,2021-07-26 01:25:29,overcast clouds
148,Bandarbeyla,SO,9.4942,50.8122,77.07,76,88,23.96,2021-07-26 01:25:29,overcast clouds
149,Grindavik,IS,63.8424,-22.4338,48.56,100,75,20.71,2021-07-26 01:25:30,light intensity drizzle rain
150,Dongli,CN,23.5656,116.8194,91.38,66,0,4.47,2021-07-26 01:25:30,clear sky
151,Griffith,US,41.5284,-87.4237,86.02,64,1,4.61,2021-07-26 01:25:30,clear sky
152,Pohrebyshche,UA,49.4864,29.2636,66.4,59,97,4.32,2021-07-26 01:25:30,overcast clouds
153,Tuatapere,NZ,-46.1333,167.6833,48.81,93,100,1.25,2021-07-26 01:21:53,overcast clouds
154,Eyl,SO,7.9803,49.8164,78.42,65,100,21.97,2021-07-26 01:21:20,overcast clouds
155,Maniitsoq,GL,65.4167,-52.9,46.76,73,100,10.65,2021-07-26 01:25:31,overcast clouds
156,Brunswick,US,41.2381,-81.8418,77.5,67,75,3.44,2021-07-26 01:25:31,broken clouds
157,Kembolcha,ET,11.0816,39.7434,62.15,83,100,2.66,2021-07-26 01:25:31,overcast clouds
158,Yangambi,CD,0.8102,24.4336,71.53,84,50,3.44,2021-07-26 01:25:32,light rain
