City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Bonnyville,CA,75.0,overcast clouds,54.2668,-110.735,Best Western Bonnyville Inn & Suites
90,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
91,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
96,Westport,US,78.35,clear sky,41.1415,-73.3579,The Westport Inn
97,Half Moon Bay,US,89.42,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
98,Palenque,MX,79.41,overcast clouds,17.5167,-91.9667,Hotel Chablis Palenque
99,Barmer,IN,82.35,overcast clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
100,Monrovia,LR,75.78,scattered clouds,6.3005,-10.7969,Sunset Inn
101,Naze,JP,81.52,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
103,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
107,Carutapera,BR,75.96,few clouds,-1.195,-46.02,Lidera
110,Butaritari,KI,79.97,moderate rain,3.0707,172.7902,Isles Sunset Lodge
113,Shenjiamen,CN,79.21,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
117,Kavaratti,IN,81.61,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
124,Evanston,US,85.1,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
125,Marinette,US,80.69,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
128,Lufilufi,WS,86.79,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
130,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
134,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
135,Solnechnyy,RU,79.05,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
136,Meadow Lake,US,81.48,overcast clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
139,San Patricio,US,85.53,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
143,Isangel,VU,75.67,overcast clouds,-19.55,169.2667,Tanna Lodge
147,Galiakot,IN,76.75,overcast clouds,23.5167,74.0,Galiakot
148,Bandarbeyla,SO,77.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
151,Griffith,US,86.02,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
154,Eyl,SO,78.42,overcast clouds,7.9803,49.8164,Amiin Hotel
156,Brunswick,US,77.5,broken clouds,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
160,Meulaboh,ID,78.58,broken clouds,4.1363,96.1285,Kost Pria
171,Fukue,JP,82.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
185,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
191,Victoria,HK,89.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
193,Hamilton,US,81.84,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
194,Bellefontaine,US,80.76,clear sky,40.3612,-83.7597,Super 8 by Wyndham Bellefontaine
197,Jiuquan,CN,81.66,scattered clouds,39.7432,98.5174,Jiuquan Hotel
200,Breda,IT,76.28,clear sky,45.7225,12.3308,Hotel Dotto
204,Nabire,ID,85.75,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
207,Pandan,PH,86.13,overcast clouds,14.0453,124.1694,Bonifacio Lodge
208,Sola,VU,80.31,few clouds,-13.8833,167.55,Leumerus Bungalows
211,Bengkulu,ID,77.41,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
214,Torres,BR,75.83,overcast clouds,-29.3353,-49.7269,Farol Hotel
216,Fort-Shevchenko,KZ,81.19,clear sky,44.5086,50.263,Oasis hotel Bautino
218,San Giustino,IT,80.38,broken clouds,43.5495,12.1736,Albergo Fiorentino
223,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
230,Shetpe,KZ,77.07,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
232,Padang,ID,78.85,scattered clouds,-0.9492,100.3543,Mercure Padang
236,Parrita,CR,82.53,overcast clouds,9.5201,-84.3225,Beso del Viento
241,Port Blair,IN,82.56,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
244,Yatou,CN,84.13,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
246,Gat,IL,79.48,few clouds,31.61,34.7642,OlusHome
248,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
249,Mapastepec,MX,79.77,scattered clouds,15.4333,-92.9,Hotel San Carlos
250,Saint George,US,82.26,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
251,Madang,PG,83.75,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
255,Chifeng,CN,80.6,moderate rain,42.2683,118.9636,Junyu Tiancheng Hotel
256,Karpathos,GR,75.7,clear sky,35.507,27.2132,Alex
260,Kieta,PG,83.95,light rain,-6.2167,155.6333,Uruna Bay Retreat
268,Tecoanapa,MX,83.41,scattered clouds,16.5167,-98.75,Hotel Manglares
270,Daru,PG,78.19,overcast clouds,-9.0763,143.2092,Daru Lodge
273,Limon,CR,78.66,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
274,Lakatoro,VU,83.14,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
275,Yanggu,CN,84.6,clear sky,36.1106,115.7753,Supply And Marketing Hotel
278,Hobyo,SO,75.67,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
281,Kushima,JP,86.04,overcast clouds,31.4583,131.2333,Hanaoka
282,Pouebo,NC,78.57,scattered clouds,-20.4,164.5667,Rural Family Home De Pouébo
284,Kavieng,PG,83.17,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
285,Buluang,PH,83.39,overcast clouds,13.3068,123.3425,Enon Beach Resort
287,Sibolga,ID,80.56,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
288,Batticaloa,LK,81.59,overcast clouds,7.7102,81.6924,Grand Star Guest House
290,Port Moresby,PG,81.77,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
293,Lazaro Cardenas,MX,82.9,overcast clouds,17.9583,-102.2,quinta antigua
294,Qinhuangdao,CN,81.75,overcast clouds,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
